model,rating,games,wins,draws
league_ppo_real (score reward)_checkpoint_5300000.pth,1532.11,447,252,19
league_ppo (misc rewards)_checkpoint_2100000.pth,1532.07,292,142,4
league_ppo_regular (score reward)_checkpoint_10600000.pth,1531.76,96,45,2
league_ppo (score reward)_checkpoint_2700000.pth,1531.67,92,51,1
league_ppo_regular (score reward)_checkpoint_5500000.pth,1530.72,560,309,14
league_ppo_regular (score reward)_checkpoint_6200000.pth,1530.72,327,184,21
league_ppo (score reward)_checkpoint_3700000.pth,1530.35,74,38,2
league_ppo_regular (score reward)_checkpoint_10400000.pth,1530.30,202,111,15
shoot_left_ppo (without embedding)_checkpoint_2506752.pth,1530.26,91,48,1
league_ppo_regular (score reward)_checkpoint_13600000.pth,1530.13,237,119,22
league_ppo_real (score reward)_checkpoint_6000000.pth,1529.14,900,427,96
league_ppo (misc rewards)_checkpoint_1900000.pth,1528.59,160,76,7
shoot_left_ppo (without embedding)_checkpoint_2211840.pth,1528.21,146,69,7
shoot_left_ppo (without embedding)_checkpoint_2850816.pth,1528.17,224,112,5
league_ppo (score reward)_checkpoint_13900000.pth,1527.93,226,135,7
league_ppo (score reward)_checkpoint_5500000.pth,1527.78,689,365,32
league_ppo_real (score reward)_checkpoint_2000000.pth,1527.53,562,286,17
league_ppo (score reward)_checkpoint_13100000.pth,1527.31,109,60,0
league_ppo_real (score reward)_checkpoint_5500000.pth,1526.94,171,87,13
shoot_left_ppo (without embedding)_checkpoint_1933312.pth,1525.00,347,170,11
league_ppo (misc rewards)_checkpoint_1500000.pth,1524.57,202,98,5
league_ppo (score reward)_checkpoint_3800000.pth,1523.99,244,122,5
league_ppo (score reward)_checkpoint_19000000.pth,1523.39,393,195,11
league_ppo_regular (score reward)_checkpoint_600000.pth,1523.04,151,70,11
league_ppo (score reward)_checkpoint_23400000.pth,1521.33,92,42,11
shoot_left_ppo (without embedding)_checkpoint_2965504.pth,1520.82,429,249,5
league_ppo (score reward)_checkpoint_5400000.pth,1520.68,287,149,14
league_ppo_regular (score reward)_checkpoint_7700000.pth,1520.65,112,56,7
league_ppo (score reward)_checkpoint_24200000.pth,1520.54,574,223,79
league_ppo (misc rewards)_checkpoint_3800000.pth,1520.43,191,105,12
league_ppo_regular (score reward)_checkpoint_7600000.pth,1520.40,174,101,10
league_ppo (score reward)_checkpoint_24700000.pth,1520.04,240,100,20
shoot_left_ppo (without embedding)_checkpoint_2637824.pth,1520.01,309,168,4
shoot_left_ppo (without embedding)_checkpoint_2981888.pth,1519.43,199,112,2
league_ppo_real (score reward)_checkpoint_9300000.pth,1519.12,90,48,4
league_ppo (score reward)_checkpoint_2800000.pth,1518.94,218,106,8
league_ppo (score reward)_checkpoint_2900000.pth,1518.92,153,75,1
league_ppo (score reward)_checkpoint_3500000.pth,1518.77,211,121,5
shoot_left_ppo (without embedding)_checkpoint_2899968.pth,1518.22,203,102,4
league_ppo (score reward)_checkpoint_6000000.pth,1517.45,130,72,2
league_ppo_real (score reward)_checkpoint_6500000.pth,1517.20,268,137,11
league_ppo (score reward)_checkpoint_19300000.pth,1516.56,113,58,0
league_ppo_real (score reward)_checkpoint_7000000.pth,1516.24,198,87,12
league_ppo (misc rewards)_checkpoint_2500000.pth,1515.81,431,238,8
shoot_left_ppo (without embedding)_checkpoint_1900544.pth,1515.76,129,56,9
shoot_left_ppo (without embedding)_checkpoint_1605632.pth,1515.49,552,247,13
league_ppo_real (score reward)_checkpoint_1500000.pth,1515.28,104,52,5
league_ppo (score reward)_checkpoint_6900000.pth,1515.09,328,144,32
league_ppo (score reward)_checkpoint_23500000.pth,1514.06,83,44,5
shoot_left_ppo (without embedding)_checkpoint_2523136.pth,1513.40,315,145,2
