model,rating,games,wins,draws
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_15600000.pth,1569.74,100,5,8
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_10800000.pth,1568.68,100,12,9
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_10000000.pth,1567.50,100,10,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_18600000.pth,1567.08,100,16,8
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_900000.pth,1565.99,100,7,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_11200000.pth,1565.97,100,12,3
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_1100000.pth,1565.30,100,10,2
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_12000000.pth,1563.72,100,12,6
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_11100000.pth,1559.97,100,5,5
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_14900000.pth,1559.72,100,9,3
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_12100000.pth,1558.00,100,9,7
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_1500000.pth,1557.28,100,9,2
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_21400000.pth,1557.24,100,9,0
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_21700000.pth,1557.15,100,3,8
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_3000000.pth,1556.25,100,4,6
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_8600000.pth,1555.65,100,8,3
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_12400000.pth,1554.23,100,12,2
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_4100000.pth,1553.39,100,4,6
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_18000000.pth,1553.13,100,9,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_20800000.pth,1549.74,100,1,9
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_15200000.pth,1547.09,100,7,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_10900000.pth,1545.71,100,10,5
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_11300000.pth,1544.29,100,6,6
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_4500000.pth,1544.07,100,13,3
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_3900000.pth,1541.17,100,3,8
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_20600000.pth,1538.39,100,11,6
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_4300000.pth,1536.19,100,9,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_4200000.pth,1535.20,100,6,7
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_8500000.pth,1533.03,100,10,5
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_9100000.pth,1532.96,100,7,7
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_20200000.pth,1531.53,100,4,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_9300000.pth,1531.28,100,11,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_3300000.pth,1531.23,100,6,6
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_3500000.pth,1528.01,100,14,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_16900000.pth,1523.01,100,6,3
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_16400000.pth,1522.95,100,7,2
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_17300000.pth,1522.54,100,3,3
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_14300000.pth,1522.06,100,0,5
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_1600000.pth,1521.99,100,12,1
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_11400000.pth,1518.49,100,9,1
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_4000000.pth,1512.95,100,6,2
