model,rating,games,wins,draws
league_ppo_regular (score reward)_checkpoint_6100000.pth,1894.51,100,45,5
league_ppo (score reward)_checkpoint_25000000.pth,1894.30,100,42,0
league_ppo (score reward)_checkpoint_24700000.pth,1894.21,100,44,0
league_ppo_regular (score reward)_checkpoint_3600000.pth,1894.15,100,45,4
league_ppo (score reward)_checkpoint_5800000.pth,1893.76,100,45,7
league_ppo (score reward)_checkpoint_28100000.pth,1892.11,100,48,1
league_ppo (score reward)_checkpoint_19400000.pth,1892.06,100,39,1
league_ppo_regular (score reward)_checkpoint_8000000.pth,1891.78,100,46,4
league_ppo (misc rewards)_checkpoint_2600000.pth,1891.51,100,39,1
league_ppo_real (score reward)_checkpoint_13000000.pth,1889.96,100,41,3
league_ppo (score reward)_checkpoint_22600000.pth,1889.85,100,40,4
league_ppo (score reward)_checkpoint_22900000.pth,1889.44,100,39,4
league_ppo_regular (score reward)_checkpoint_4800000.pth,1888.96,100,39,2
league_ppo_real (score reward)_checkpoint_7900000.pth,1888.88,100,38,2
league_ppo_regular (score reward)_checkpoint_8400000.pth,1888.65,100,45,3
league_ppo_real (score reward)_checkpoint_2000000.pth,1888.56,100,37,4
league_ppo_regular (score reward)_checkpoint_8300000.pth,1888.50,100,45,3
league_ppo_regular (score reward)_checkpoint_8200000.pth,1886.76,100,44,5
league_ppo_regular (score reward)_checkpoint_5200000.pth,1886.42,100,41,1
league_ppo (score reward)_checkpoint_2900000.pth,1885.99,100,41,2
league_ppo (score reward)_checkpoint_5400000.pth,1885.49,100,41,4
league_ppo (score reward)_checkpoint_4200000.pth,1884.64,100,45,3
league_ppo_regular (score reward)_checkpoint_10400000.pth,1884.13,100,46,4
league_ppo (score reward)_checkpoint_23200000.pth,1883.91,100,46,2
league_ppo (score reward)_checkpoint_5600000.pth,1883.87,100,40,3
league_ppo (score reward)_checkpoint_4100000.pth,1883.46,100,47,1
league_ppo (score reward)_checkpoint_2400000.pth,1883.37,100,37,3
league_ppo_regular (score reward)_checkpoint_2000000.pth,1883.13,100,49,1
league_ppo (score reward)_checkpoint_13500000.pth,1882.98,100,40,3
league_ppo_real (score reward)_checkpoint_3000000.pth,1882.45,100,45,2
league_ppo (score reward)_checkpoint_12900000.pth,1881.91,100,42,1
league_ppo (score reward)_checkpoint_8000000.pth,1881.75,100,36,10
league_ppo (score reward)_checkpoint_6100000.pth,1880.96,100,43,1
league_ppo_real (score reward)_checkpoint_8900000.pth,1880.36,100,32,11
league_ppo_regular (score reward)_checkpoint_7700000.pth,1880.06,100,32,3
league_ppo (score reward)_checkpoint_19100000.pth,1879.82,100,42,1
league_ppo_real (score reward)_checkpoint_1300000.pth,1879.63,100,41,4
league_ppo (misc rewards)_checkpoint_8100000.pth,1879.45,100,34,9
league_ppo_regular (score reward)_checkpoint_1700000.pth,1879.36,100,44,0
league_ppo_real (score reward)_checkpoint_8500000.pth,1877.47,100,37,7
league_ppo_real (score reward)_checkpoint_10000000.pth,1877.14,100,37,8
league_ppo (score reward)_checkpoint_23300000.pth,1877.05,100,28,9
league_ppo_regular (score reward)_checkpoint_5100000.pth,1876.72,100,44,2
league_ppo (score reward)_checkpoint_22700000.pth,1876.16,100,35,2
league_ppo_real (score reward)_checkpoint_8100000.pth,1875.84,100,38,8
league_ppo_regular (score reward)_checkpoint_14300000.pth,1875.21,100,41,1
league_ppo_regular (score reward)_checkpoint_8100000.pth,1874.65,100,41,1
league_ppo_real (score reward)_checkpoint_11500000.pth,1874.16,100,33,13
league_ppo_real (score reward)_checkpoint_2400000.pth,1873.89,100,35,3
league_ppo (misc rewards)_checkpoint_3700000.pth,1873.58,100,37,5
league_ppo (score reward)_checkpoint_19300000.pth,1873.03,100,41,1
league_ppo_regular (score reward)_checkpoint_7800000.pth,1871.53,100,46,3
league_ppo_regular (score reward)_checkpoint_13500000.pth,1871.51,100,43,4
league_ppo_real (score reward)_checkpoint_6300000.pth,1871.28,100,34,10
league_ppo_real (score reward)_checkpoint_6400000.pth,1871.12,100,37,3
league_ppo (score reward)_checkpoint_27400000.pth,1870.96,100,46,1
league_ppo_real (score reward)_checkpoint_8000000.pth,1870.59,100,40,3
league_ppo (score reward)_checkpoint_2700000.pth,1870.58,100,46,0
league_ppo_real (score reward)_checkpoint_7000000.pth,1869.89,100,35,4
league_ppo_real (score reward)_checkpoint_6500000.pth,1869.79,100,35,4
league_ppo (misc rewards)_checkpoint_3500000.pth,1868.96,100,32,10
league_ppo_regular (score reward)_checkpoint_13800000.pth,1868.92,100,39,4
league_ppo_regular (score reward)_checkpoint_11600000.pth,1868.86,100,43,3
league_ppo_regular (score reward)_checkpoint_13300000.pth,1868.45,100,41,2
league_ppo (score reward)_checkpoint_6600000.pth,1867.71,100,52,2
league_ppo (score reward)_checkpoint_16500000.pth,1867.30,100,43,0
league_ppo_real (score reward)_checkpoint_1900000.pth,1866.32,100,40,1
league_ppo (score reward)_checkpoint_13000000.pth,1866.23,100,41,3
league_ppo_real (score reward)_checkpoint_2300000.pth,1865.96,100,38,2
league_ppo_real (score reward)_checkpoint_6700000.pth,1865.16,100,33,5
league_ppo_real (score reward)_checkpoint_8800000.pth,1865.14,100,31,5
league_ppo (score reward)_checkpoint_16700000.pth,1864.99,100,41,4
league_ppo (score reward)_checkpoint_26500000.pth,1864.98,100,37,2
league_ppo (misc rewards)_checkpoint_2900000.pth,1864.58,100,47,2
league_ppo (score reward)_checkpoint_17100000.pth,1864.47,100,45,2
shoot_left_ppo (without embedding)_checkpoint_1900544.pth,1863.64,100,46,2
league_ppo (score reward)_checkpoint_3800000.pth,1863.33,100,36,5
league_ppo_regular (score reward)_checkpoint_6300000.pth,1863.30,100,51,0
league_ppo (misc rewards)_checkpoint_3200000.pth,1862.87,100,41,8
league_ppo (score reward)_checkpoint_18500000.pth,1862.53,100,35,4
league_ppo (score reward)_checkpoint_29600000.pth,1862.25,100,39,1
league_ppo_real (score reward)_checkpoint_8400000.pth,1862.07,100,34,7
league_ppo_regular (score reward)_checkpoint_7400000.pth,1861.51,100,37,7
league_ppo (score reward)_checkpoint_5900000.pth,1861.01,100,42,3
shoot_left_ppo (without embedding)_checkpoint_393216.pth,1860.89,100,36,2
league_ppo (misc rewards)_checkpoint_3100000.pth,1860.33,100,41,6
league_ppo (misc rewards)_checkpoint_7700000.pth,1859.43,100,40,5
league_ppo (score reward)_checkpoint_13700000.pth,1859.37,100,51,2
shoot_left_ppo (without embedding)_checkpoint_933888.pth,1859.11,100,40,2
league_ppo_regular (score reward)_checkpoint_5000000.pth,1857.80,100,39,2
league_ppo_regular (score reward)_checkpoint_2300000.pth,1857.11,100,44,2
league_ppo (score reward)_checkpoint_28300000.pth,1856.48,100,41,1
league_ppo_real (score reward)_checkpoint_9200000.pth,1856.30,100,33,6
league_ppo_regular (score reward)_checkpoint_10900000.pth,1855.91,100,36,5
league_ppo (score reward)_checkpoint_23600000.pth,1855.77,100,36,13
league_ppo (score reward)_checkpoint_28200000.pth,1855.06,100,43,3
league_ppo_real (score reward)_checkpoint_11400000.pth,1854.96,100,32,15
league_ppo (score reward)_checkpoint_16300000.pth,1854.86,100,34,3
league_ppo_real (score reward)_checkpoint_8200000.pth,1854.70,100,31,8
league_ppo_regular (score reward)_checkpoint_1900000.pth,1853.50,100,40,1
